年別,進站/出站人次,總計人次,松山機場人次,中山國中人次,南京復興BR人次,忠孝復興BR人次,大安BR人次,科技大樓人次,六張犁人次,麟光人次,辛亥人次,萬芳醫院人次,萬芳社區人次,木柵人次,動物園人次,大直人次,劍南路人次,西湖人次,港墘人次,文德人次,內湖人次,大湖公園人次,葫洲人次,東湖人次,南港軟體園區人次,南港展覽館BR人次,小碧潭人次,新店人次,新店區公所人次,七張人次,大坪林人次,景美人次,萬隆人次,公館人次,台電大樓人次,古亭人次,中正紀念堂人次,小南門人次,頂溪人次,永安市場人次,景安人次,南勢角人次,台大醫院人次,台北車站BL人次,台北車站R人次,中山R人次,雙連人次,民權西路R人次,圓山人次,劍潭人次,士林人次,芝山人次,明德人次,石牌人次,唭哩岸人次,奇岩人次,北投人次,新北投人次,復興崗人次,忠義人次,關渡人次,竹圍人次,紅樹林人次,淡水人次,頂埔人次,永寧人次,土城人次,海山人次,亞東醫院人次,府中人次,板橋人次,新埔人次,江子翠人次,龍山寺人次,西門人次,善導寺人次,忠孝新生BL人次,忠孝復興BL人次,忠孝敦化人次,國父紀念館人次,市政府人次,永春人次,後山埤人次,昆陽人次,南港人次,南港展覽館BL人次,象山人次,台北/世貿人次,信義安和人次,大安R人次,大安森林公園人次,北門人次,中山G人次,松江南京G人次,南京復興G人次,台北小巨蛋人次,南京三民人次,松山人次,輔大人次,新莊人次,頭前庄人次,先嗇宮人次,三重人次,菜寮人次,台北橋人次,大橋頭人次,民權西路O人次,中山國小人次,行天宮人次,松江南京O人次,忠孝新生O人次,東門人次,蘆洲人次,三民高中人次,徐匯中學人次,三和國中人次,三重國小人次,迴龍人次,丹鳳人次,大坪林Y人次,十四張人次,秀朗橋人次,景平人次,景安Y人次,中和人次,橋和人次,中原人次,板新人次,板橋Y人次,新埔民生人次,頭前庄Y人次,幸福人次,新北產業園區人次
85年,進站人次,11204389,-,1670933,1658030,1600873,969458,989427,868224,336678,342758,934657,283673,416126,1133552,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
85年,出站人次,11204389,-,1609386,1683302,1740330,936524,929607,831011,321650,316168,917936,254289,432197,1231989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
86年,進站人次,24866255,-,2245232,2364045,2061652,1377582,1348353,1314704,521567,537174,1583454,430373,644168,1113767,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,156779,-,402234,775734,495940,829726,750848,690309,606322,959665,457558,318332,745620,550403,231249,166973,391562,572822,222108,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
86年,出站人次,24547289,-,2071380,2602787,2294941,1381675,1235021,1194233,480092,462714,1599398,365544,678461,1175825,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,175174,-,482331,798966,459222,765775,847481,643370,545947,920131,398348,258122,694298,506227,226207,158704,382868,546056,195991,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
87年,進站人次,58641252,-,2531801,2695828,2401543,1609453,1511963,1572940,601968,630691,2008810,493103,841169,1174717,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23862,21515,-,-,-,-,-,15642,6472357,2914140,3126520,1001616,1909992,1147458,1908849,2217375,1727152,1547531,2571955,1024401,894014,2001954,1118164,524282,431692,1198671,1261983,578116,4928025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
87年,出站人次,58742558,-,2353257,2980906,2647259,1650393,1395741,1412612,547841,542939,2029482,410056,875769,1227731,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32219,34048,-,-,-,-,-,25423,6070948,3379559,3420458,1188491,2069524,1102751,1895585,2529328,1624695,1386447,2545150,917518,670556,1912201,1000904,496843,421396,1160714,1189412,489011,5105391,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
88年,進站人次,120193933,-,2922559,3141135,2764875,1989918,1813253,1824681,716308,723319,2411950,564454,1017564,1447466,-,-,-,-,-,-,-,-,-,-,-,-,338205,283611,392985,373971,400843,224522,752828,313282,5229962,3183856,-,3572004,2496083,2461562,2889540,4000574,11734371,6102452,5286070,2342021,3960104,2257857,3957138,4261347,3031455,2432791,4323032,1489945,1410808,2917793,1639740,752248,678212,1855108,2023501,989428,7684442,-,-,-,-,-,-,-,-,-,114300,172478,43112,47236,116801,97721,70462,150650,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
88年,出站人次,120193933,-,2707081,3452429,3044651,2019486,1683423,1640027,645152,632761,2456885,469803,1046956,1534857,-,-,-,-,-,-,-,-,-,-,-,-,335432,287828,361815,350793,408281,208628,778582,283214,5299568,3312082,-,3718844,2476482,2220375,2874551,4010790,10104651,7486699,5682971,2616815,4204156,2210685,4017334,4774951,2867349,2204462,4385419,1349779,1058477,2815183,1558692,716155,660256,1858855,1921303,851748,7793678,-,-,-,-,-,-,-,-,-,134041,156556,35110,43032,98858,91422,66118,168402,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
89年,進站人次,264156421,-,4750261,5381353,1376568,3632111,3033093,2794098,1075463,910724,3339453,757509,1437381,1916370,-,-,-,-,-,-,-,-,-,-,-,-,2550517,2454556,3533988,3507051,3639502,2092924,6433642,3224093,7035548,6354572,312377,6956115,4667781,4418113,4973489,6646345,20375774,12772237,8167011,4272797,6794967,4367720,6972280,6802047,4649500,3326622,6437431,1962806,1922063,3959699,1633564,835073,840826,2265971,2529395,1450337,9389269,-,-,-,-,-,-,-,3144281,1254697,5874428,10646203,2967646,3438351,6951882,6339432,3602525,8930012,26307,20569,27702,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
89年,出站人次,264156421,-,4440772,5508077,1537232,3633808,2863764,2585537,993697,800830,3517117,642137,1511503,2055639,-,-,-,-,-,-,-,-,-,-,-,-,2403659,2494770,3213641,3234609,3703979,1914902,7084803,3011909,7223443,6153724,305898,7385609,4618140,4167575,4846298,6869969,16378883,14504292,8525299,4608980,7051245,4490230,7371384,7459999,4275954,3060456,6621907,1779860,1397725,4232594,1426856,810259,856999,2373303,2457267,1466372,9592337,-,-,-,-,-,-,-,3069568,1193411,6256104,10616328,2905009,3856259,6799694,6828621,3887576,9211186,22049,17956,27418,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
90年,進站人次,286135666,-,5084978,5621138,1832978,3799700,3153883,2855965,1101366,932416,3478109,766375,1460820,1971909,-,-,-,-,-,-,-,-,-,-,-,-,2801356,2518529,3692342,3787215,3807974,2164573,6877740,3357456,7183060,6346138,931243,6996962,4581894,4321180,4862227,8060309,29170908,-,8887787,4531692,7730419,4618480,7748807,6858099,4569259,3387904,6593364,1930681,2047978,3958809,1493365,786669,911077,2401056,2543779,1520783,9662604,-,-,-,-,-,-,-,10218402,3816975,4265579,11916356,3045422,3980611,7920500,6459947,3548033,6001079,2988008,2485926,3785473,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
90年,出站人次,286135665,-,4716323,5792527,1967250,3852099,2983133,2645206,987037,803704,3721993,634829,1566310,2086086,-,-,-,-,-,-,-,-,-,-,-,-,2592128,2560583,3398719,3493910,3893325,1960313,7540555,3084052,7310851,6093085,915305,7523923,4537972,4171171,4723429,8267792,26862354,-,9165339,4803138,7929631,4855528,8086668,7298746,4262826,3130942,6811864,1743430,1451526,4454020,1196984,771965,954713,2470198,2495372,1647971,9702620,-,-,-,-,-,-,-,9703765,3667499,4653181,12110677,3047067,4636378,8057528,7070676,3773785,6232424,2934657,2289840,4038743,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
91年,進站人次,321551676,-,5369153,5845098,1456692,4077080,3341644,3003685,1151351,945598,3758193,780690,1522231,1985303,-,-,-,-,-,-,-,-,-,-,-,-,3071021,2711300,3900369,4151637,4143673,2301866,7456514,3798781,7543490,6719345,1093522,7560006,4947575,4623343,5199693,7258398,33569406,-,9065270,5114735,8766131,5211506,9030302,6982927,4767650,3609435,7163718,1997564,2206304,4274681,1473611,802924,914240,2735554,2600865,1646453,10084136,-,-,-,-,-,-,-,13478637,4837082,4947812,13729536,3911378,4987513,9620503,7732870,4787236,8316358,4384577,3548477,5535034,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
91年,出站人次,321551676,-,4892008,5940746,1457101,4097117,3132517,2775506,1031942,796321,4011738,625896,1573921,2010275,-,-,-,-,-,-,-,-,-,-,-,-,2777262,2800803,3604586,3852110,4270012,2073454,8155321,3477353,7610043,6386095,1071476,8103856,4882351,4659778,4968026,7351350,31799433,-,9271275,5443053,8838286,5546477,9135394,7532990,4464475,3357305,7447494,1790974,1526715,4801395,1148411,780409,979340,2743370,2547242,1792019,9969341,-,-,-,-,-,-,-,12648170,5192917,5356320,14249620,3920622,5109286,10565893,8424115,5133211,8290894,4241458,3238811,5875997,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
92年,進站人次,314084304,-,5000749,5398914,1247456,3855458,3133583,2753713,1061280,874710,3459305,684050,1410792,1746860,-,-,-,-,-,-,-,-,-,-,-,-,2985888,2622678,3781168,4271015,4079753,2213310,7233072,3678938,7271899,6526226,1078102,7545339,4841661,4572897,5055138,6373239,20357231,12103658,9155830,4959435,8252169,5638007,9320361,6588497,4540000,3492989,6850636,1944718,2152216,4168321,1350362,786418,880496,2858174,2437666,1708373,9876086,-,-,-,-,-,-,-,14152037,4972487,4777920,12813222,3944067,4780834,9257682,7471276,4536717,8720708,4507665,3677614,6293239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
92年,出站人次,314084304,-,4632645,5622396,1231205,3877485,2945999,2568941,941585,733512,3744026,537212,1456702,1753216,-,-,-,-,-,-,-,-,-,-,-,-,2691374,2716712,3470315,3961617,4189782,1965766,7975454,3345632,7322216,6102299,1047320,7959566,4687250,4475588,4766583,6474176,31850327,-,9666757,5284742,8447651,5906080,9413267,7084633,4232770,3214540,7098566,1730712,1492534,4721390,1042326,761761,919555,2918399,2396929,1830942,9777859,-,-,-,-,-,-,-,13053481,4800891,5237391,13388740,3982298,5003122,9293582,8347058,4795401,8860134,4292723,3344917,6696252,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
93年,進站人次,348117254,-,5145391,5679430,1218366,4008847,3249352,2856015,1069744,896888,3685761,691947,1453059,1795005,-,-,-,-,-,-,-,-,-,-,-,195070,3212412,2787537,4081115,4728765,4509780,2352016,8252244,4026903,7995431,7058656,1169611,8399376,5319045,5198640,5416862,7226400,22027637,13994800,10334476,5667692,8916244,6574561,10604231,7169191,4787252,3766940,7507489,2047816,2321500,4568153,1269498,857798,899355,3228287,2662035,1875719,10623340,-,-,-,-,-,-,-,16232699,5515691,5584016,14521265,4188695,5363850,10331238,8272336,4922905,10733549,4922283,4164195,7980850,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
93年,出站人次,348117254,-,4811129,6019077,1185381,4101213,3157284,2734822,984340,793005,3942768,569804,1489974,1780498,-,-,-,-,-,-,-,-,-,-,-,197650,2953884,2943818,3814777,4469787,4606673,2184874,8536501,3762369,8032624,6728330,1179329,8705858,5270287,5077832,5178622,7298699,21062580,14283598,10749939,6068424,8897476,6659518,10496448,7583642,4639945,3518117,7836287,1851006,1624879,5132570,1060867,834468,940897,3306101,2625254,1969238,10529133,-,-,-,-,-,-,-,14978512,5497223,5801664,14744595,4382881,5645839,10363627,9244202,5287411,11120612,4812064,3907601,8149427,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
94年,進站人次,359112447,-,5210923,5698306,1011790,3957156,3229032,2885125,1047098,865583,3631820,658537,1358610,1734858,-,-,-,-,-,-,-,-,-,-,-,628710,3145535,2951549,4045108,4934084,4703447,2357705,8511550,4162606,8300374,6737652,1204961,8563204,5490090,5508834,5462761,7363681,22570573,14757550,10700888,5853091,9160041,7032802,10840516,7252927,4973779,3845596,7630891,2099747,2348321,4702466,1243155,880655,871487,3416781,2688831,1882178,10884842,-,-,-,-,-,-,-,17373426,5840680,6261051,15202791,4383054,5348970,11046621,8676445,5095229,11171801,4945643,4418670,8350260,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
94年,出站人次,359112447,-,4870576,6086385,1045188,4081384,3185937,2765534,981619,770028,3873589,552349,1425237,1698304,-,-,-,-,-,-,-,-,-,-,-,633485,2954634,3021745,3844107,4684683,4773665,2216423,8686994,3943354,8349428,6488628,1236931,8888038,5424942,5406055,5239047,7416134,21883694,14754245,11116499,6325998,9139046,6937637,10821122,7530620,4847178,3593476,8010571,1898601,1621778,5291832,1070267,861139,908019,3538092,2673774,1957989,10750385,-,-,-,-,-,-,-,15966779,5788861,6295157,15356716,4650606,5668673,11048342,9718846,5519291,11503274,4822190,4212052,8485275,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
95年,進站人次,382872336,-,5241642,5821290,946554,3890287,3307570,2897602,1052413,861672,3610955,659229,1231543,1775230,-,-,-,-,-,-,-,-,-,-,-,625073,3147222,3085112,4086408,5316594,4834603,2381474,8709000,4393221,8414698,7122892,1275645,8575059,5786540,5606697,5628549,7561962,23892076,14931614,10904046,6258996,9315443,7572607,11283568,7522543,4918111,3884906,7809460,2121338,2429256,4933042,1210852,946564,873742,3541330,2773543,1934948,11458624,-,1424814,873393,2286344,1751863,3659985,2593658,14400443,6154034,6799757,15931820,4863029,5481886,11321742,9222609,5453283,13134812,5312441,4908653,8934425,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
